a_first,a_second,b_first,b_second,c_first,c_second
02:01,68:02,14:02,44:02,05:01,08:02
02:01,30:02,44:03,57:03,07:02,15:05
33:03,unmapped,15:03,15:10,02:10,03:04
02:01,36:01,07:02,53:01,04:01,05:01
23:01,34:02,44:03,45:01,04:01,06:02
30:02,unmapped,07:02,15:03,07:02,15:05
02:01,02:02,15:16,53:01,04:01,14:02
02:02,36:01,53:01,58:01,04:01,08:02
23:01,33:03,14:03,15:16,08:02,16:01
34:02,unmapped,44:03,45:01,07:01,16:01
02:05,30:01,44:03,53:01,03:03,04:01
33:03,34:02,44:03,52:01,04:01,16:01
02:01,34:02,44:03,45:01,07:01,16:01
02:02,11:01,35:01,53:01,04:01,04:01
02:01,29:02,44:03,45:01,04:01,16:01
02:05,03:01,35:01,44:03,04:01,04:01
24:02,66:02,15:17,58:01,07:01,07:01
66:01,unmapped,49:01,53:01,04:01,07:01
02:01,02:01,53:01,58:01,04:01,07:01
03:01,30:01,15:10,42:01,03:04,unmapped
30:02,unmapped,35:01,57:03,04:01,unmapped
02:01,36:01,53:01,57:03,04:01,unmapped
03:01,32:01,14:02,35:01,04:01,08:02
02:01,24:02,08:01,39:01,07:01,12:03
02:01,34:02,35:01,78:01,06:02,16:01
24:02,29:02,44:03,52:01,03:03,07:01
03:01,33:03,07:02,58:01,03:02,07:02
29:02,29:02,13:02,50:01,04:01,06:02
23:01,30:01,41:01,42:01,08:02,unmapped
02:01,68:01,39:10,45:01,12:03,16:01
33:03,68:02,07:02,08:01,07:01,07:02
01:01,34:02,15:03,81:01,02:10,unmapped
23:01,30:02,14:02,45:01,06:02,08:02
03:01,30:02,15:10,55:01,03:03,03:04
03:01,30:02,07:02,47:02,07:01,15:05
02:01,66:01,35:01,45:01,04:01,16:01
02:02,68:01,52:01,53:01,04:01,04:01
30:02,34:02,07:02,44:03,04:01,unmapped
30:02,68:02,14:02,53:01,06:02,08:02
02:01,23:01,07:02,35:01,04:01,15:05
02:01,24:02,27:05,52:01,01:02,16:01
03:01,23:01,07:02,35:01,04:01,07:02
02:01,32:01,07:02,15:03,02:10,15:05
02:05,23:01,45:01,53:01,04:01,06:02
03:01,33:03,35:01,57:03,04:01,08:02
29:02,30:02,08:01,49:01,07:01,07:01
68:02,unmapped,15:03,15:10,02:10,03:04
23:01,26:01,35:01,38:01,04:01,12:03
02:01,23:01,15:03,53:01,02:10,04:01
30:01,68:01,07:05,42:01,02:02,07:02
11:01,24:02,57:03,58:01,02:02,04:01
02:01,02:02,08:01,53:01,03:04,04:01
30:01,36:01,07:02,53:01,04:01,07:02
23:01,unmapped,07:02,15:03,02:10,07:02
03:01,31:01,57:03,58:01,07:01,07:01
03:01,34:02,15:03,57:01,02:10,07:01
30:02,68:01,53:01,57:03,06:02,07:01
30:01,unmapped,15:03,57:01,02:10,unmapped
30:02,34:02,27:03,44:03,04:01,05:01
26:01,26:01,15:03,40:02,02:02,02:10
23:01,68:01,15:03,45:01,unmapped,unmapped
